Class,CloseTime,30m0,30mvolume0,30m1,30mvolume1,30m2,30mvolume2,30m3,30mvolume3,30m4,30mvolume4,30m5,30mvolume5,30m6,30mvolume6,30m7,30mvolume7,30m8,30mvolume8,30m9,30mvolume9,30m10,30mvolume10,30m11,30mvolume11,30m12,30mvolume12,30m13,30mvolume13,30m14,30mvolume14,30m15,30mvolume15,4h0,4hvolume0,4h1,4hvolume1,4h2,4hvolume2,4h3,4hvolume3,4h4,4hvolume4,4h5,4hvolume5,4h6,4hvolume6,4h7,4hvolume7,4h8,4hvolume8,4h9,4hvolume9,4h10,4hvolume10,4h11,4hvolume11,4h12,4hvolume12,4h13,4hvolume13,4h14,4hvolume14,4h15,4hvolume15
Pull,1503178199999,292.34,6.80543,290.31,9.1543,290.53,4.65304,293.31,0.02323,293.32,13.14509,295.0,4.17193,295.0,36.96689,293.15,5.68375,288.66,5.44616,286.14,13.72996,288.09,48.21888,288.64,60.01667,286.56,27.19583,283.0,6.44888,287.06,7.36924,286.36,16.13241,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319,302.0,1200.94182,301.6,1208.05192,307.06,1882.05267,308.95,1177.71088,307.96,1561.95305
Pull,1503210599999,293.14,25.95367,292.17,37.74018,291.59,5.15738,288.3,3.341,288.31,3.31804,292.41,0.0082,292.42,3.0,292.42,23.46971,289.94,9.12956,289.94,4.31917,288.84,12.92935,287.0,0.08351,286.91,15.46142,290.91,0.0,290.91,0.0,290.91,10.16,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319,302.0,1200.94182,301.6,1208.05192,307.06,1882.05267
Pull,1503221399999,295.96,4.86604,295.98,38.53213,295.54,120.98956,292.08,130.56565,293.15,37.13185,293.12,9.05451,293.14,25.95367,292.17,37.74018,291.59,5.15738,288.3,3.341,288.31,3.31804,292.41,0.0082,292.42,3.0,292.42,23.46971,289.94,9.12956,289.94,4.31917,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319,302.0,1200.94182,301.6,1208.05192
Pull,1503233999999,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.51,24.78989,295.97,0.04561,295.96,0.0,295.96,4.86604,295.98,38.53213,295.54,120.98956,292.08,130.56565,293.15,37.13185,293.12,9.05451,293.14,25.95367,292.17,37.74018,291.59,5.15738,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319,302.0,1200.94182
Push,1503239399999,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.51,24.78989,295.97,0.04561,295.96,0.0,295.96,4.86604,295.98,38.53213,295.54,120.98956,292.08,130.56565,293.15,37.13185,293.12,9.05451,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319,302.0,1200.94182
Push,1503241199999,294.25,3.9,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.51,24.78989,295.97,0.04561,295.96,0.0,295.96,4.86604,295.98,38.53213,295.54,120.98956,292.08,130.56565,293.15,37.13185,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319,302.0,1200.94182
Push,1503242999999,295.16,0.0062,294.25,3.9,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.51,24.78989,295.97,0.04561,295.96,0.0,295.96,4.86604,295.98,38.53213,295.54,120.98956,292.08,130.56565,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319,302.0,1200.94182
Push,1503244799999,295.1,0.00959,295.16,0.0062,294.25,3.9,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.51,24.78989,295.97,0.04561,295.96,0.0,295.96,4.86604,295.98,38.53213,295.54,120.98956,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319
Push,1503248399999,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,294.25,3.9,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.51,24.78989,295.97,0.04561,295.96,0.0,295.96,4.86604,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319
Push,1503250199999,296.78,45.22972,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,294.25,3.9,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.51,24.78989,295.97,0.04561,295.96,0.0,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319
Push,1503255599999,298.57,12.5655,298.56,28.44071,296.88,55.48199,296.78,45.22972,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,294.25,3.9,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,295.0,44.10176,295.45,7.43469,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616,301.4,1690.58319
Push,1503259199999,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,296.88,55.48199,296.78,45.22972,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,294.25,3.9,293.41,0.0,293.41,5.53,292.28,0.56547,296.92,13.5594,295.49,43.79404,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616
Push,1503264599999,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,296.88,55.48199,296.78,45.22972,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,294.25,3.9,293.41,0.0,293.41,5.53,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616
Push,1503266399999,298.13,180.59589,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,296.88,55.48199,296.78,45.22972,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,294.25,3.9,293.41,0.0,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616
Push,1503268199999,298.4,148.45268,298.13,180.59589,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,296.88,55.48199,296.78,45.22972,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,294.25,3.9,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616
